name,maker,expirationDate,type
"Coumarinum, Quercetin, Rutin, Bamboo, Barley, Corn, Levant cotton, Flax seed, Millet, Milo, Oat, California poppy, Rice, Rye, Safflower,",Dr. Donna Restivo DC,2016/10/07,lizard
Acetaminophen,Rite Aid,2017/08/19,bird
Candesartan cilexetil,Par Pharmaceutical Inc.,2017/04/12,bird
Acetaminophen,Kroger Company,2018/07/14,hamster
Bipolaris sorokiniana,"Nelco Laboratories, Inc.",2019/05/16,dog
Rizatriptan Benzoate,Heritage Pharmaceuticals Inc.,2017/01/07,bird
Polyethylene Glycol 400 and Propylene Glycol,Amerisource Bergen,2018/12/31,lizard
B Mold Mixture,"Antigen Laboratories, Inc.",2020/04/18,lizard
Liothyronine sodium,Mylan Pharmaceuticals Inc.,2018/11/23,lizard
acyclovir,Ranbaxy Laboratories Ltd.,2018/01/17,lizard
Haloperidol,Zydus Pharmaceuticals (USA) Inc.,2017/05/07,hamster
carvedilol,Cardinal Health,2018/04/28,hamster
TITANIUM DIOXIDE,Laboratoires Clarins S.A,2018/01/18,dog
rimabotulinumtoxinB,"Solstice Neurosciences, LLC",2019/03/20,dog
Thioridazine Hydrochloride,Mutual Pharmaceutical,2018/12/15,hamster
Oxycodone Hydrochloride,Mylan Pharmaceuticals Inc.,2018/04/23,snake
ENALAPRIL MALEATE,American Health Packaging,2017/07/21,lizard
Titanium Dioxide and Octinoxate,Coty US LLC,2019/07/30,hamster
Oxygen,Advantage Home Medical LLC,2018/09/16,cat
Aqua Foundation,"Koh Gen Do USA, Inc",2019/12/04,lizard
levetiracetam,Rebel Distributors Corp,2020/01/02,bird
Benzalkonium Chloride,"Professional Disposables International, Inc.",2019/07/15,snake
Glipizide,"Watson Laboratories, Inc.",2017/03/13,cat
"Bacitracin zinc, Neomycin sulfate, Polymyxin B sulfate, and Pramoxine hydrochloride",Meijer Distribution Inc,2017/02/22,cat
Losartan Potassium and Hydrochlorothiazide,Unit Dose Services,2016/12/09,bird
Estazolam,Teva Pharmaceuticals USA Inc,2019/03/08,lizard
"SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE and SODIUM PHOSPHATE, DIBASIC, ANHYDROUS","Hospira, Inc.",2017/01/15,cat
Aspirin,"Novartis Consumer Health, Inc.",2019/07/15,lizard
Glycerin,"NATURE REPUBLIC CO., LTD.",2020/04/13,snake
BENZALKONIUM CHLORIDE,CVS PHARMACY,2019/08/17,hamster
Oxycodone Hydrochloride,VistaPharm Inc.,2018/07/13,bird
Tea Tree Oil,Integria Healthcare (US) Inc,2018/12/26,dog
"Salicylic Acid, Niacinamide, Menthol","ECOMINE Co., Ltd.",2017/05/02,dog
IBUPROFEN,STAT Rx USA LLC,2019/10/29,dog
cephalexin,"MedVantx, Inc.",2019/05/03,bird
Losartan Potassium,Zydus Pharmaceuticals (USA) Inc.,2017/01/04,cat
GENTAMICIN SULFATE,"Hospira, Inc.",2018/01/08,snake
Ketotifen Fumarate,McKesson,2018/07/16,hamster
Captopril,Unit Dose Services,2017/06/19,cat
OATMEAL,Biostandard Inc.,2019/12/16,bird
SODIUM BICARBONATE,"Hospira, Inc.",2018/08/30,bird
Cephalexin,"PD-Rx Pharmaceuticals, Inc.",2018/05/19,lizard
Chloroxylenol,Kay Chemcial Co.,2017/02/13,lizard
"Tetrahydrozoline hydrochloride, dextran 70, polyethylene glycol 400, povidone",United Exchange Corp,2018/07/22,lizard
Alcohol,"Whisk Products, Inc.",2017/07/27,hamster
erythromycin,Perrigo New York Inc,2018/04/18,hamster
Naproxen Sodium,Amerisource Bergen,2017/11/04,cat
"Homosalate, Octocrylene, Ethylhexyl Salicilate, Titanium Dioxide","The Hain Celestial Group, Inc.",2017/07/02,cat
Spearmint,"Nelco Laboratories, Inc.",2016/09/30,dog
Metformin Hydrochloride,Heritage Pharmaceuticals Inc.,2017/09/16,dog
tranylcypromine sulfate,"Golden State Medical Supply, Inc.",2018/12/17,hamster
TITANIUM DIOXIDE,TOO FACED COSMETICS,2017/05/06,lizard
Mycophenolate Mofetil,Accord Healthcare Inc.,2018/03/17,cat
Hydrocodone Bitartrate and Acetaminophen,"Amneal Pharmaceuticals, LLC",2017/01/01,bird
Menthol and Camphor and Eucalyptus Oil,Universal Distribution Center LLC,2019/03/12,cat
Benzoyl Peroxide,Neutrogena Corporation,2017/06/06,bird
Levothyroxine Sodium,"PD-Rx Pharmaceuticals, Inc.",2018/01/02,dog
Alcohol,Georgia-Pacific Consumer Products LP,2017/04/27,hamster
Mercurialis Calendula Healing,Uriel Pharmacy Inc.,2018/11/17,cat
Diltiazem Hydrochloride,Cardinal Health,2017/09/14,bird
VERAPAMIL HYDROCHLORIDE,Cardinal Health,2017/11/16,cat
Amitriptyline Hydrochloride,Bryant Ranch Prepack,2020/05/17,dog
Sodium Chloride,Natural Health Supply,2018/03/13,hamster
Titanium Dioxide,Melaleuca Inc.,2017/09/23,cat
LUBIPROSTONE,STAT RX USA LLC,2017/07/11,snake
Pseudoephedrine HCl,American Sales Company,2017/07/04,hamster
Nicotine Polacrilex,Walgreen Company,2016/10/30,lizard
Sodium Fluoride,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc.",2018/05/21,cat
Amlodipine besylate,REMEDYREPACK INC.,2019/06/02,snake
Agaricus muscarius 30 Special Order,Uriel Pharmacy Inc.,2018/03/13,lizard
methylphenidate hydrochloride,Kremers Urban Pharmaceuticals Inc.,2018/06/27,dog
benztropine mesylate,Cardinal Health,2017/11/22,lizard
OCTINOXATE,"La Prairie, Inc.",2017/12/01,cat
valsartan,"Physicians Total Care, Inc.",2017/11/22,cat
Diphenhydramine Hydrochloride,Qualitest Pharmaceuticals,2017/02/27,hamster
Sulindac,Carilion Materials Management,2017/07/04,dog
"Carbidopa, Levodopa, and Entacapone",Sandoz Inc,2020/05/04,hamster
Mineral Oil,Select Brand,2019/02/10,lizard
"Adrenalinum, Thyroidinum, Aloe, Calc. carb., Chelidonium majus, Conium, Graphites, Iodium, Lachesis, Lycopodium, Lycopus virginicus, Phytolacca, Rhus toxicodendron, Silicea, Spongia, Echinacea","Newton Laboratories, Inc.",2018/12/28,bird
Dimethicone,"NATURE REPUBLIC CO., LTD.",2019/02/02,cat
Tadalafil,"Dispensing Solutions, Inc.",2018/02/23,bird
LISINOPRIL,Apotex Corp.,2018/08/11,snake
Titanium Dioxide and Zinc Oxide,MD Solar Sciences,2019/11/20,bird
OCTINOXATE and TITANIUM DIOXIDE,"SMASHBOX BEAUTY COSMETICS, INC",2019/03/05,cat
Allantoin,"Deb USA, Inc.",2017/08/13,hamster
Famotidine,McKesson,2019/04/25,dog
Allopurinol,Major Pharmaceuticals,2019/04/28,lizard
Strawberry,"Nelco Laboratories, Inc.",2017/11/19,bird
"AVOBENZONE, OCTOCRYLENE, OXYBENZONE",Energizer Personal Care LLC,2017/11/13,lizard
losartan potassium,Micro Labs Limited,2018/01/13,lizard
ISOSORBIDE DINITRATE,Carilion Materials Management,2019/12/01,dog
Tragacanth Gum,"Nelco Laboratories, Inc.",2017/12/19,hamster
Amantadine Hydrochloride,"Lannett Company, Inc.",2019/08/21,cat
simvastatin,ReadyMeds,2020/05/19,hamster
MENTHOL,"PERSONAL CARE PRODUCTS, LLC",2018/01/15,dog
Acetaminophen and Diphenhydramine Citrate,Medtech Products Inc.,2017/03/20,lizard
Nicotine Polacrilex,McKesson,2018/10/28,bird
Pramipexole Dihydrochloride,Carilion Materials Management,2018/01/05,cat
Finasteride,REMEDYREPACK INC.,2017/07/10,hamster
donepezil hydrochloride,Mylan Pharmaceuticals Inc.,2017/01/04,lizard
Bambusa Pulsatilla,Uriel Pharmacy Inc.,2018/10/23,dog
Nabumentone,American Health Packaging,2018/01/19,hamster
FORMALDEHYDE,Natural Health Supply,2016/10/30,dog
minocycline hydrochloride,Mylan Pharmaceuticals Inc.,2018/01/09,snake
Kapok,"Nelco Laboratories, Inc.",2019/01/23,hamster
Sodium Fluoride,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc.",2018/06/17,lizard
warfarin sodium,Bristol-Myers Squibb Pharma Company,2019/05/26,dog
CEFTRIAXONE,REMEDYREPACK INC.,2020/03/15,hamster
SODIUM FLUORIDE,"Jangin Pharm Co., Ltd.",2019/09/22,lizard
"Berberis vulgaris, Chelidonium majus, Carduus marianus, Schisandra chinensis, Taraxacum officinale, Picrorhiza scrophulariiflora, Raphanus sativus, Viscum album Chromium gluconate, Cobaltum gluconate,",Apotheca Company,2019/12/18,lizard
Omeprazole,Major Pharmaceuticals,2018/07/02,hamster
Lorazepam,Ranbaxy Pharmaceuticals Inc.,2018/09/28,dog
Acetaminophen,Kroger Company,2017/09/08,cat
Penicillin V Potassium,Lake Erie Medical DBA Quality Care Products LLC,2019/10/18,cat
Nitrous Oxide,"Lessors, Incorporated",2017/05/15,bird
"Mineral oil, Petrolatum, Phenylephrine HCl, Shark liver oil",Topco Associates LLC,2017/10/09,snake
TROSPIUM CHLORIDE,"Golden State Medical Supply, Inc.",2020/05/25,snake
fluorometholone,"Allergan, Inc.",2017/03/16,snake
tramadol hydrochloride and acetaminophen,"Physicians Total Care, Inc.",2017/07/17,cat
glipizide,REMEDYREPACK INC.,2018/04/08,hamster
"Anacardium Orientale, Belladonna, Hyoscyamus Niger, Kali Bromatum, Veratrum Album, Baryta Carbonica, Lachesis Mutus","Energique, Inc.",2017/04/29,hamster
Naproxen Sodium,Major Pharmaceuticals,2019/07/13,bird
oxymetazoline hydrochloride,Wal-Mart Stores Inc,2019/08/13,snake
CLINDAMYCIN PHOSPHATE,"APP Pharmaceuticals, LLC",2019/11/18,dog
Oak White,"ALK-Abello, Inc.",2020/03/04,dog
Acetaminophen and Diphenhydramine HCl,"Stephen L. LaFrance Pharmacy, Inc.",2019/08/05,hamster
Sodium Fluoride,The Procter & Gamble Manufacturing Company,2017/08/20,bird
"Aceticum acidum, Colchicum autumnale, Lacticum acidum, Lycopodium clavatum, Phosphoricum acidum, Phosphorus, Syzgium jambolanum, Uranium nitricum",Apotheca Company,2018/08/15,dog
Lorazepam,"International Medication Systems, Limited",2020/02/15,lizard
Dexbrompheniramine Maleate,"Poly Pharmaceuticals, Inc.",2017/03/17,dog
Lamb,"Antigen Laboratories, Inc.",2019/02/04,lizard
"codeine phosphate, guaifenesin and pseudoephedrine hydrochloride","CodaDose, Inc.",2017/03/31,lizard
"Pramoxine HCl, Zinc acetate",/Vi-Jon,2018/08/13,dog
Diphenhydramine Hydrochloride,Velocity Pharma,2019/10/13,lizard
azithromycin,Greenstone LLC,2018/10/27,snake
ATORVASTATIN CALCIUM,Parke-Davis Div of Pfizer Inc,2018/01/22,hamster
BENZALKONIUM CHLORIDE,SAS Healthcare Inc,2019/09/26,cat
ETHYL ALCOHOL,H E B,2018/12/15,cat
warfarin sodium,Cardinal Health,2019/06/15,snake
Ibuprofen,Meijer Distribution Inc,2020/04/28,bird
Pantoprazole Sodium,REMEDYREPACK INC.,2019/10/09,bird
benazepril hydrochloride and hydrochlorothiazide,Mylan Pharmaceuticals Inc.,2019/06/07,cat
oxycodone hydrochloride and acetaminophen,STAT RX USA LLC,2016/10/29,snake
Divalproex Sodium,Citron Pharma LLC,2018/05/09,snake
moexipril hydrochloride and hydrochlorothiazide,"UCB, Inc.",2018/04/01,hamster
Benazepril Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",2016/12/01,lizard
RIVASTIGMINE TARTRATE,Macleods Pharmaceuticals Limited,2018/03/06,lizard
ALCOHOL,"SJ Creations, Inc.",2016/12/12,snake
"Baryta carbonica, Calcarea carbonica, Lachesis mutus, Lycopodium clavatum, Natrum muriaticum, Nux vomica, Phosphorus,",Apotheca Company,2017/02/17,dog
Diazepam,KAISER FOUNDATION HOSPITALS,2017/07/21,hamster
"OCTINOXATE, OCTISALATE, TITANIUM DIOXIDE","Napoleon Perdis Cosmetics, Inc",2017/11/04,snake
Ergotamine Tartrate and Caffeine,Sandoz Inc,2019/01/29,cat
Fexofenadine Hydrochloride,Kinray,2019/02/08,lizard
ETHYL ALCOHOL,"AOSS Medical Supply, Inc.",2018/06/21,snake
"Avobenzone, Octisalate, and Octocrylene",Procter & Gamble Manufacturing Company,2018/04/25,hamster
lamotrigine,Cardinal Health,2019/01/13,hamster
lovastatin,Shionogi Inc.,2019/11/13,dog
Brewers Yeast,"Nelco Laboratories, Inc.",2018/10/18,cat
DIPYRIDAMOLE,Cardinal Health,2017/06/15,snake
"Acetaminophen, Dextromethorphan HBr, Doxylamine Succinate",Amerisource Bergen,2017/01/06,cat
LOPERAMIDE HYDROCHLORIDE,"Western Family Foods, Inc.",2020/04/20,snake
Gambil Oak,"Nelco Laboratories, Inc.",2019/09/10,cat
Ranitidine,Cardinal Health,2017/02/17,snake
Cefdinir,Rebel Distributors Corp,2017/05/28,bird
ANATHERUM MURICATUM,HOMEOLAB USA INC.,2019/12/29,lizard
Ibuprofen and Pseudoephedrine Hydrochloride,Walgreen Company,2018/09/13,lizard
Naproxen,"Preferred Pharmaceuticals, Inc",2018/09/03,snake
Dextrose,"Physicians Total Care, Inc.",2017/10/06,hamster
LEDUM PALUSTRE TWIG,Hyland's,2016/10/13,hamster
benzoyl peroxide,"Acella Pharmaceuticals, LLC",2019/07/01,hamster
Oxymorphone Hydrochloride,"KVK-Tech, Inc.",2018/03/04,snake
TITANIUM DIOXIDE,ORGANIC & SUSTAINABLE BEAUTY,2019/10/05,cat
OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO AMERICA INC.,2017/07/25,lizard
methylprednisolone acetate,Cardinal Health,2020/02/07,bird
Benzoyl Peroxide,Perrigo New York Inc,2019/04/25,bird
Celecoxib,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2018/03/07,dog
pioglitazone and glimepiride,"Takeda Pharmaceuticals America, Inc.",2020/04/22,lizard
Simvastatin,Gen-Source Rx,2018/06/29,dog
Bambusa Viscum Stannum,Uriel Pharmacy Inc.,2019/04/23,bird
Entacapone,Mylan Pharmaceuticals Inc.,2019/08/19,snake
triclosan,"Jets, Sets, & Elephants Beauty Corp.",2017/11/07,cat
Trimipramine Maleate,"Teva Women's Health, Inc.",2019/11/07,snake
Elm,"BioActive Nutritional, Inc.",2020/05/17,dog
rOPINIRole,"Roxane Laboratories, Inc",2018/07/20,snake
Tacrolimus,Dr. Reddy's Laboratories Limited,2020/03/14,dog
"Acetaminophen, Chlorpheniramine maleate, and Dextromethorphan Hydrobromide",Procter & Gamble Manufacturing Company,2018/05/11,cat
Pseudoephedrine Hydrochloride,Kmart Corporation,2017/07/28,cat
Dog Fennel,"Nelco Laboratories, Inc.",2019/07/05,dog
TECHNETIUM TC-99M SODIUM PERTECHNETATE,Medi-Physics Inc.,2017/09/26,bird
Menthol,"Kareway Product, Inc.",2017/07/03,snake
Oxygen,Stateserv Medical of Arizona,2017/01/25,cat
Homosalate Oxybenzone Octocrylene Octisalate Avobenzone,"Scarguard Labs, LLC",2018/02/26,lizard
Nifedipine,Clinical Solutions Wholesale,2018/08/08,bird
Alcohol,Wal-Mart Stores Inc.,2018/12/06,dog
Dicyclomine Hydrochloride,"Preferred Pharmaceuticals, Inc.",2018/12/15,cat
BENZALKONIUM CHLORIDE,"Mangiacotti, Inc",2018/11/07,snake
Loratadine,Walgreen Company,2018/08/19,cat
MANNITOL,"Hospira, Inc.",2020/04/05,hamster
lidocaine hydrochloride anhydrous and epinephrine,McKesson Packaging Services Business Unit of McKesson Corporation,2019/03/21,bird
Cauliflower,"Nelco Laboratories, Inc.",2020/05/21,dog
Ranitidine Hydrochloride,"Wal-Mart Stores, Inc",2017/12/04,bird
Bismuth Subsalicylate,Equaline,2018/01/28,lizard
Pseudoephedrine HCl,L Perrigo Company,2017/03/28,lizard
"INFLUENZA A VIRUS A/BRISBANE/10/2010 (H1N1) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED), INFLUENZA A VIRUS A/TEXAS/50/2012 X-223A (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED), and INFLUENZA B VIRUS B/MASSACHUSETTS/2/2012 ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED)","Novartis Vaccines and Diagnostics, Inc.",2017/12/27,dog
Fluconazole,NorthStar Rx LLC,2018/06/07,cat
FERRIC OXIDE RED,Kmart Corporation,2018/03/13,cat
Acer saccharinum,"Allermed Laboratories, Inc.",2017/07/11,cat
furosemide,"Claris Lifesciences, Inc",2017/09/17,bird
"Calcium carbonate, Magnesium hydroxide",Major Pharmaceuticals,2020/02/21,dog
hydrochlorothiazide and triamterene,GlaxoSmithKline LLC,2017/10/18,bird
Nitroglycerin,"Preferred Pharmaceuticals, Inc",2018/03/15,hamster
Broccoli,"Nelco Laboratories, Inc.",2019/02/05,dog
Fluconazole,Dr. Reddy's Laboratories Limited,2018/12/04,lizard
Naproxen Sodium,P and L Development of New York Corporation (ReadyInCase),2018/07/14,dog
Peach,"Antigen Laboratories, Inc.",2020/01/09,snake
Povidone Iodine,"Jiangsu Province JianErKang Medical Dressing Co. ,Ltd.",2018/07/07,snake
Cefdinir,BluePoint Laboratories,2017/08/31,snake
Dronabinol,Mylan Pharmaceuticals Inc.,2016/10/07,snake
Titanium dioxide,"SHISEIDO CO., LTD.",2018/08/03,snake
Pioglitazone hydrochloride and glimepiride,Sandoz Inc,2019/09/20,dog
Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,2018/09/23,cat
Triclosan,"SJ Creations, Inc.",2018/12/10,lizard
Phenylephrine Hydrochloride,CVS Pharmacy,2018/09/16,lizard
Tolnaftate,Rite Aid Corporation,2016/10/20,lizard
Bisacodyl Suppository,CVS Pharmacy,2019/04/25,hamster
montelukast sodium,"Glenmark Generics Inc., USA",2017/12/14,hamster
RIZATRIPTAN Benzoate,"Breckenridge Pharmaceutical, Inc.",2020/05/20,bird
"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",McKesson,2018/10/04,hamster
Omeprazole,Apotex Corp,2017/04/19,hamster
ampicillin sodium,Cardinal Health,2019/11/19,dog
phenytoin sodium,State of Florida DOH Central Pharmacy,2018/09/11,snake
Diltiazem Hydrochloride,American Health Packaging,2018/07/26,lizard
Trimethoprim,"Physicians Total Care, Inc.",2018/05/23,hamster
Doxycycline Hyclate,"PD-Rx Pharmaceuticals, Inc.",2019/06/27,snake
Bismuth subsalicylate,Major Pharmaceuticals,2016/11/23,cat
Nicotine Polacrilex,Sam's West Inc,2020/05/17,lizard
Famciclovir,Teva Pharmaceuticals USA Inc,2018/02/24,snake
vardenafil hydrochloride,"APHENA PHARMA SOLUTIONS - TENNESSEE, INC.",2017/12/10,snake
Lamivudine,"Camber Pharmaceuticals, Inc.",2017/03/11,cat
SODIUM FLUORIDE and POTASSIUM NITRATE,Mission Hills S.A. de C.V.,2016/11/28,lizard
Metoprolol Tartrate,"Safecor Health, LLC",2020/05/22,dog
Zinc Oxide,"Allure Labs, Inc.",2017/07/17,hamster
TITANIUM DIOXIDE,SHISEIDO AMERICA INC.,2017/04/10,lizard
Benzalkonium Chloride,"Humco Holding Group, Inc",2017/12/11,lizard
venlafaxine,NorthStar RxLLC,2016/10/16,dog
"OCTOCRYLENE, OXYBENZONE",Energizer Personal Care LLC,2019/11/02,lizard
CIPROFLOXACIN HYDROCHLORIDE,REMEDYREPACK INC.,2018/12/31,bird
TRIAMCINOLONE ACETONIDE,REMEDYREPACK INC.,2018/10/28,snake
Lovastatin,St Marys Medical Park Pharmacy,2016/12/28,hamster
Phenol,"Antigen Laboratories, Inc.",2020/03/29,hamster
Disulfiram,"Physicians Total Care, Inc.",2019/06/08,lizard
"MENTHOL, CALAMINE, ZINC OXIDE","Summit Industries, Inc.",2017/10/24,bird
tramadol hydrochloride and acetaminophen,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2018/12/23,hamster
Gabapentin,"Golden State Medical Supply, Inc.",2018/09/08,cat
"Dextromethorphan HBr, Guaifenesin","RockHealth, Inc",2018/07/14,snake
Titanium Dioxide,Neutrogena Corporation,2018/01/22,bird
retapamulin,"Physicians Total Care, Inc.",2020/02/29,lizard
Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,2020/03/19,hamster
imipenem and cilastatin sodium,Cardinal Health,2018/11/14,snake
"Apis Mellifera, Arsenic Trioxide, Cadmium Sulphate, Oyster Shell Calcium Carbonate Crude, Activated Charcoal, Chelidonium Majus, Cinchona Officinalis Bark, Lycopodium Clavatum Spore, Mercurius Solubilis, Sodium Chloride, Strychnos Nux-Vomica Seed, Phosphorus, Pulsatilla Vulgaris, Sepia Officinalis Juice, Sulphur, Zinc","Natural Creations, Inc.",2018/11/02,bird
Docusate sodium,"Dispensing Solutions, Inc.",2020/03/18,dog
clonidine hydrochloride,"Unichem Pharmaceuticals (USA), Inc.",2020/05/04,hamster
Cromolyn sodium,Micro Labs Limited,2019/05/01,cat
Terazosin Hydrochloride,Major Pharmaceuticals,2017/08/05,bird
Titanium dioxide,"SHISEIDO CO., LTD.",2019/06/21,snake
Treatment Set TS348237,"Antigen Laboratories, Inc.",2018/02/15,cat
Bryonia Apis Special Order,Uriel Pharmacy Inc.,2019/11/01,lizard
Dicloxacillin Sodium,Sandoz Inc,2017/10/05,hamster
Bismuth subsalicylate,Hannaford Brothers Company,2019/03/14,snake
venlafaxine hydrochloride,Mylan Pharmaceuticals Inc.,2018/07/10,lizard
Meclizine Hydrochloride,"Amneal Pharmaceuticals, LLC",2019/03/28,snake
Arizona Ash,"ALK-Abello, Inc.",2017/07/31,cat
MAGNESIUM HYDROXIDE,Select Brand,2018/07/18,cat
Acetaminophen,CVS Pharmacy,2018/06/06,cat
MANNITOL,"Fresenius Kabi USA, LLC",2020/05/02,dog
Sildenafil,Teva Pharmaceuticals USA Inc,2019/04/25,dog
"thallous chloride, Tl 201",Mallinckrodt Inc.,2017/04/09,cat
not applicable,Carnivora Research International,2018/06/28,cat
Aspirin,Publix Super Markets Inc,2020/02/27,snake
Nicotine Polacrilex,Amerisource Bergen,2019/11/15,bird
Quetiapine fumarate,Dr.Reddy's Laboratories Limited,2019/03/06,bird
Isosorbide Mononitrate,"NCS HealthCare of KY, Inc dba Vangard Labs",2017/08/12,lizard
Titanium Dioxide and Octinoxate,Space Brands Limited,2019/06/03,cat
MAGNESIUM SULFATE HEPTAHYDRATE,"Hospira, Inc.",2020/05/18,bird
BENZALKONIUM CHLORIDE,"GEISS, DESTIN AND DUNN, INC.",2018/12/21,hamster
Cetirizine Hydrochloride,H E B,2017/03/07,hamster
Ragweed Short,"ALK-Abello, Inc.",2019/10/03,bird
Minoxidil,Walgreens,2017/01/07,cat
Phosphorus 8,Uriel Pharmacy Inc.,2016/12/25,cat
lithium carbonate,Mylan Institutional Inc.,2017/12/05,bird
"avobenzone, homosalate, octisalate, octocrylene","Sun & Skin Care Research, LLC",2017/11/10,dog
Metformin Hydrochloride,REMEDYREPACK INC.,2018/07/04,cat
Heparin Sodium,"General Injectables & Vaccines, Inc",2017/09/16,snake
Pine Yellow,"ALK-Abello, Inc.",2017/03/16,snake
"Naproxen sodium, Pseudoephedrine HCl",Cardinal Health,2018/10/29,hamster
PSYLLIUM HUSK,"Konsyl Pharmaceuticals, Inc.",2018/06/11,snake
ANAS BARBARIAE HEPATIS ET CORDIS EXTRACTUM,HOMEOLAB USA INC,2018/07/27,dog
"Bismuthum metallicum, Antimon.crud., Arg. nit., Arsenicum alb., Baptisia, Bryonia, Chamomilla, Cinchona, Iris versicolor, Kali bic., Lachesis, Lycopodium, Mag. carb., Nux vom., Phosphorus, Podoph. pelt., Pulsatilla, Raphanus, Rhus toxicodendron, Tabacum, Verbascum, Zingiber, Echinacea, Juglans regia.","Newton Laboratories, Inc.",2018/03/30,lizard
Methylprednisolone,BluePoint Laboratories,2019/10/02,lizard
Oat Smut,"Nelco Laboratories, Inc.",2018/10/07,lizard
Treatment Set TS329413,"Antigen Laboratories, Inc.",2019/07/07,bird
Sennosides,"MEIJER, INC.",2020/02/07,dog
Dimethicone,"Dermazone Solutions, Inc.",2016/11/20,snake
Carvedilol,REMEDYREPACK INC.,2019/02/03,lizard
"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE",Best Choice,2018/10/21,bird
Isopropyl Alcohol,Wuxi Medical Instrument Factory,2020/03/21,hamster
"Arnica Montana, Gold, Selenicereus Grandiflorus Stem, Oyster Shell Calcium Carbonate, Crude, Sodium Chloride, Strychnos Nux-Vomica Seed, Phosphorus, Solidago Virgaurea Flowering Top","Natural Creations, Inc.",2016/12/08,lizard
ASPIRIN,"Ilex Consumer Products Group, LLC",2018/02/12,lizard
cauliflower,"Allergy Laboratories, Inc.",2017/07/12,dog
Acetaminophen,"H.J. Harkins Company, Inc.",2019/02/04,hamster
Allergenic Extracts Alum Precipitated,"ALK-Abello, Inc.",2017/07/07,bird
FOLLITROPIN,"EMD Serono, Inc.",2017/05/01,bird
Avobenzone Octinoxate Oxybenzone Titanium dioxide,Kamins Dermatologics Inc.,2018/10/22,snake
Zoledronic acid,Heritage Pharmaceuticals Inc.,2017/04/10,cat
"Acetaminophen, Diphenhydramin HCl","WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",2018/11/10,dog
Nifedipine,TEVA PHARMACEUTICALS USA,2018/01/26,dog
TechneScan PYP,Mallinckrodt Inc.,2017/06/25,dog
Nicotine Polacrilex,CVS Pharmacy,2019/03/07,lizard
Metoclopramide,Mylan Institutional Inc.,2016/11/28,hamster
Polyethylene Glycol 3350,Major Pharmaceuticals,2019/06/20,dog
Octinoxate and Oxybenzone,Ventura Corporation LTD,2019/03/23,cat
topiramate,"Upsher-Smith Laboratories, Inc.",2018/08/13,dog
"Avobenzone, Homosalate, Octisalate, Octocrylene and Oxybenzone",L'Oreal USA Products Inc,2017/10/20,lizard
Albuterol Sulfate,REMEDYREPACK INC.,2018/08/20,cat
Dimethicone,"NATURE REPUBLIC CO., LTD.",2018/04/02,lizard
"Arsenicum alb., Berber. vulg., Bovista, Dolichos, Echinacea, Hura brasiliensis, Hydrocotyle, Lycopodium, Mezereum, Rhus toxicodendron, Rumex crisp., Sepia, Taraxacum,Thuja occ., Urtica ur., Iris versicolor","Newton Laboratories, Inc.",2020/01/14,dog
"Belladonna 4X, Bryonia 4X, Coccus cacti 6X, Corallium rubrum 12X, Cuprum aceticum 12X, Drosera 4X, Ipecacuanha 6X, Spongia tosta 6X, Sticta pulmonaria 4X",PHARMAZEUTISCHE FABRIK DR. RECKEWEG & CO,2018/06/28,bird
Clotrimazole,Eduard Gerlach GmbH,2018/09/11,lizard
"Undecylenic acid, Triclosan",ALL NATURAL DYNAMICS,2020/03/11,cat
Puccinia striiformis,"Allermed Laboratories, Inc.",2018/12/07,dog
metoprolol succinate and hydrochlorothiazide,AstraZeneca LP,2020/02/03,cat
Oxygen,"BGR Enterprises, Inc. dba Penn Oxygen & Supply Company",2018/08/21,snake
Olanzapine,REMEDYREPACK INC.,2018/03/25,hamster
Phentermine Hydrochloride,"TAGI Pharma, Inc.",2020/01/07,hamster
Octinoxate,"Elizabeth Arden, Inc",2019/12/12,snake
Amlodipine Besylate,"International Labs, Inc.",2017/02/20,bird
"Ensulizole, Homosalate, Octinoxate, and Oxybenzone","Ventura Corporation, LTDA",2018/05/17,lizard
"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",Kinray Inc.,2018/06/14,bird
NAJA NAJA VENOM,Receptopharm Inc.,2018/07/28,cat
Clopidogrel,St Marys Medical Park Pharmacy,2018/06/18,dog
Lisinopril,REMEDYREPACK INC.,2018/03/16,lizard
